id;status;created_at;responded_at;sender_id;receiver_id
fd46ba7e-02b1-49fb-a8f3-4e82da20dc42;REJECTED;2023-12-09T19:29:33;2023-12-09T21:35:56;ef6780e4-08b1-4258-a892-40d85dca6825;ef6780e4-08b1-4258-a892-40d85dca6825
4cebfa88-de45-4b45-a9a0-bde7052c7daf;CANCELLED;2023-12-09T11:51:33;2023-12-09T18:09:31;3f5801bd-c771-40f6-b3ab-5f6e11e542c2;3f5801bd-c771-40f6-b3ab-5f6e11e542c2
dc655ceb-989f-4d45-9065-3be2b1c14515;REJECTED;2023-12-09T19:34:55;2023-12-09T17:30:25;eece46fd-e527-472f-accd-b91e8d0c7fd5;eece46fd-e527-472f-accd-b91e8d0c7fd5
17090dad-076f-4670-9a5c-f5bbc866c00b;REJECTED;2023-12-09T06:15:41;2023-12-09T06:51:44;7e9c5b25-c85f-4c43-9b58-63788ac75631;7e9c5b25-c85f-4c43-9b58-63788ac75631
34b8fd89-8cba-494c-a534-006825b65a32;ACCEPTED;2023-12-09T22:45:18;2023-12-09T12:02:15;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94
5be3548b-24e5-41c7-af34-bb40ed176a45;ACCEPTED;2023-12-09T16:33:13;2023-12-09T07:16:27;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1
8573f89c-28d3-4e86-823d-9bb809794ef8;CANCELLED;2023-12-09T19:21:25;2023-12-09T06:45:06;810e43e2-0e01-4794-a8c5-78cfe19a5279;810e43e2-0e01-4794-a8c5-78cfe19a5279
310123ad-2a24-49ac-ac42-85c12faabf34;PENDING;2023-12-09T16:29:02;2023-12-10T02:38:50;1f5e54b3-6302-40f3-bef3-59bb608d4f22;1f5e54b3-6302-40f3-bef3-59bb608d4f22
a1056c4e-0bcf-4e2d-86a5-06cb5b948866;PENDING;2023-12-09T06:07:19;2023-12-09T18:33:03;1212773e-8de0-4ee8-b460-3165768b009a;1212773e-8de0-4ee8-b460-3165768b009a
c5fcf0d7-c4e6-4d97-bb6b-c9a6b51dcac5;CANCELLED;2023-12-09T14:47:14;2023-12-09T15:55:26;b1724916-53d0-45dd-b612-2e391b8f9784;b1724916-53d0-45dd-b612-2e391b8f9784
d90d2022-6fd0-44b6-a452-e1e82c170f99;REJECTED;2023-12-09T18:20:24;2023-12-09T14:49:47;cc705fca-f604-4cda-9106-7f24d530c3b4;cc705fca-f604-4cda-9106-7f24d530c3b4
a07f9a92-7109-4216-8b3c-5930bdfbe061;ACCEPTED;2023-12-09T05:38:44;2023-12-09T21:20:49;21d87295-00c9-4f4f-a254-370d54ed8cb3;21d87295-00c9-4f4f-a254-370d54ed8cb3
9b50c4aa-15d1-45d2-9b33-7510707f3ca9;REJECTED;2023-12-10T01:36:18;2023-12-09T20:51:12;dc59befd-98eb-4dd1-b7dc-9b58c51b6450;dc59befd-98eb-4dd1-b7dc-9b58c51b6450
97c4b76d-dc45-41be-83a2-ee9da947855e;ACCEPTED;2023-12-09T11:30:19;2023-12-09T23:38:28;3e772373-8e44-49e0-828f-cabffa1ab374;3e772373-8e44-49e0-828f-cabffa1ab374
359366d1-8291-4c22-856e-2c5c0be3956d;PENDING;2023-12-09T20:21:10;2023-12-09T08:40:14;1585c475-91f2-4bf7-aae0-368aae451f58;1585c475-91f2-4bf7-aae0-368aae451f58
2ab15411-37a5-4119-bb90-10d93c4c969f;REJECTED;2023-12-09T23:59:21;2023-12-09T14:51:00;9084cbf7-1af3-4408-a58a-33424d1e8e0d;9084cbf7-1af3-4408-a58a-33424d1e8e0d
4443632d-c150-42e5-8f1d-2d473499c3fa;PENDING;2023-12-09T08:52:25;2023-12-09T17:34:18;98f5f5ec-2578-4d78-837a-84a714d6acc7;98f5f5ec-2578-4d78-837a-84a714d6acc7
8daf1126-40c0-41ea-ad45-6b896d8fb4f0;ACCEPTED;2023-12-10T04:25:53;2023-12-09T14:51:43;25751d44-b0da-4f6d-8c1e-52fac5eb65da;25751d44-b0da-4f6d-8c1e-52fac5eb65da
9e68dd44-7cfe-4bb8-826b-b03b26906948;REJECTED;2023-12-09T18:22:51;2023-12-09T10:16:39;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2
