id;owner_id;file_name;media_type;mime_type;file_size;storage_provider;storage_key;url;status;created_at;updated_at
e9622901-389b-4b77-93b0-c4c1c32fb0cf;48578d94-698a-4eb2-a164-e2b78919b829;briskly;AUDIO;which;1682;CLOUDINARY;warmly longingly;https://trim-hornet.name;DELETED;2023-12-06T08:25:29;2023-12-06T02:12:54
848c2fd5-064a-4d60-bf1e-91f24186ccf8;fdde15cc-b465-4435-92a9-5f71799d65fd;fully unlike;DOCUMENT;though;20998;CLOUDINARY;hence because stay;https://disloyal-puritan.org;ACTIVE;2023-12-06T03:14:00;2023-12-05T12:56:31
b86852c1-9026-4599-b4aa-46d483c2954b;5d3b7b87-9f40-4591-9e1e-fb85d70bd0fa;zowie close;IMAGE;elementary unimpressively accelerator;1567;AWS_S3;premier gee;https://greedy-understanding.name/;ACTIVE;2023-12-05T14:30:38;2023-12-05T10:28:33
4673174b-f252-4f11-9412-200305236dd2;9980846c-0f40-4ac1-9060-c2c9ad235411;hose indeed tensely;IMAGE;kiddingly on among;1347;CLOUDINARY;promptly;https://brown-necklace.org/;ACTIVE;2023-12-06T04:46:02;2023-12-05T18:31:34
cb02c771-61b4-4ede-b07e-67d6d0fa3646;d34dcab4-2ca3-4ee1-a0ef-4434bb285866;regal hungrily decouple;AUDIO;huff if;9098;CLOUDINARY;oblong;https://frail-tuber.org/;DELETED;2023-12-05T13:24:07;2023-12-06T02:23:35
cc89ea78-cac0-47a2-8fc7-0cdab52e11a1;fdecebc5-80a7-43de-9ee6-5d83f21dcee4;stable dishonor whereas;IMAGE;divine;10225;AWS_S3;lifestyle;https://boiling-farm.com/;DELETED;2023-12-05T13:06:55;2023-12-05T18:06:46
b934616e-a90d-4d06-93f4-bbdd2b918a41;59b411d0-df80-477f-a1b0-4d1e837b15cf;correctly geez modulo;DOCUMENT;yesterday for;22081;LOCAL;iridescence but outrank;https://affectionate-hawk.name;ACTIVE;2023-12-05T18:16:58;2023-12-06T02:38:09
a272720a-4fb8-4032-ad24-ea0a09893f27;3d97e621-cf6b-4201-9d11-6057fdccfa20;whoever passport whose;DOCUMENT;shipper sympathetically;15794;LOCAL;median aha;https://eminent-chainstay.org/;DELETED;2023-12-05T23:08:39;2023-12-06T02:34:09
8adefb91-0be5-4fb8-b8ad-4430c51c9398;382cbc95-1d19-4b02-be2c-0d436f5867d9;uh-huh defiantly from;IMAGE;fuzzy optimistic;24910;CLOUDINARY;lean;https://wretched-sauerkraut.name/;ACTIVE;2023-12-05T23:52:25;2023-12-06T03:03:34
3607f346-821a-430c-bbec-5e732ce6c3d7;c8953383-2e32-4457-a5f9-5d1745974021;whitewash;IMAGE;drat;23367;AWS_S3;as hmph;https://forsaken-dress.net;DELETED;2023-12-05T21:06:22;2023-12-05T15:42:10
08b2485a-aff3-47bf-b641-025bef8b2aee;c99c6ba8-fdf8-4ccf-8288-49330000ac13;though typewriter;IMAGE;hospitable;15199;LOCAL;euphonium;https://dull-place.org/;DELETED;2023-12-05T12:33:01;2023-12-06T02:29:46
6f0ca8c3-86c6-40e6-b8e3-9432dcdcbe7d;55cba5ca-e694-4ce4-af5d-cafdb70bd572;variable of proliferate;DOCUMENT;annual dead pension;11246;LOCAL;needily next barring;https://ruddy-bungalow.org;ACTIVE;2023-12-06T02:47:59;2023-12-05T10:16:34
5d4502a2-701d-4b56-9b25-6acf50167654;a87f564d-d977-496b-84f5-0f2ef4be2f15;regarding joyfully now;DOCUMENT;for;21326;LOCAL;forgo apropos;https://muddy-giggle.net/;DELETED;2023-12-05T22:51:50;2023-12-06T03:52:35
d5c45fec-da82-4b35-844d-e2ceb286fdfe;a5515699-02bb-4b9f-a0f4-919d6a86e3b9;while;VIDEO;bestride damp gosh;30724;LOCAL;tray humiliating iterate;https://defenseless-feather.biz;ACTIVE;2023-12-06T03:58:04;2023-12-06T05:01:03
f8211b6c-cb36-43a0-a3f3-94858ea41183;7c79f799-c9c9-4183-b6af-73370d0a4fa1;instead;VIDEO;given ick;26977;LOCAL;till upon besides;https://cooperative-jury.info;DELETED;2023-12-06T05:36:44;2023-12-05T20:07:30
68d0e159-4c5c-4d62-9660-dddf34d0300a;9f99be55-ef8c-4f90-a652-f99f121e6fa7;vice;DOCUMENT;selfishly;29757;AWS_S3;reword off frizzy;https://unlawful-caption.info;DELETED;2023-12-05T12:55:51;2023-12-06T07:33:48
d4b73f2c-edf4-444d-b50b-f49fcc7459b9;5f05634b-e545-4c87-9258-1de5c0b3a24b;zowie boohoo;AUDIO;pomelo an;8533;AWS_S3;out till plus;https://ambitious-decryption.name/;DELETED;2023-12-06T00:44:37;2023-12-05T23:48:14
023fd14f-6d8e-4fe0-933f-b7055a5e0ddc;430311d4-b31d-4dc3-8ca5-95f79602013a;seafood;AUDIO;hose inasmuch;18112;CLOUDINARY;famously worth er;https://vain-chasuble.info;DELETED;2023-12-05T15:39:40;2023-12-05T14:58:09
dd4fc7e1-ce1e-4cf5-a0cb-c309eba65cea;ca58063d-bce9-4f8c-81ea-faa09c4f3831;painfully;VIDEO;slow;15996;AWS_S3;gadzooks readies before;https://rowdy-stump.biz;DELETED;2023-12-05T17:31:48;2023-12-06T00:55:03
b6de8a4a-3d51-47fd-9906-d7893dff6b69;8d6ad9e6-84d6-4ab8-a585-c02f3836d51e;leading incidentally;AUDIO;gadzooks;21699;LOCAL;circumference mmm um;https://juicy-meadow.biz;DELETED;2023-12-06T08:26:58;2023-12-06T07:53:46
